Flight No,Airline,Departure,DEP_CODE,Terminal,Arrival,ARR_CODE,Scheduled_time,Scheduled_date,Estimated_time,Estimated_date,Aircraft
SG3999,SpiceJet,Pondicherry ,PNY,T1,Bengaluru,BLR,15:20:00,2023-10-07,15:20:00,2023-10-07,DH8
6E453,IndiGo,Bagdogra ,IXB,T1,Bengaluru,BLR,15:35:00,2023-10-07,15:25:00,2023-10-07,32N
I51543,AirAsia India,Jaipur ,JAI,T2,Bengaluru,BLR,15:35:00,2023-10-07,15:35:00,2023-10-07,A20N
6E6536,IndiGo,Bhubaneswar ,BBI,T1,Bengaluru,BLR,15:45:00,2023-10-07,15:35:00,2023-10-07,32Q
6E337,IndiGo,Raipur ,RPR,T1,Bengaluru,BLR,15:45:00,2023-10-07,15:35:00,2023-10-07,32Q
I51455,AirAsia India,Goa ,GOI,T2,Bengaluru,BLR,15:40:00,2023-10-07,15:40:00,2023-10-07,A320
6E381,IndiGo,Goa ,GOI,T1,Bengaluru,BLR,15:50:00,2023-10-07,15:40:00,2023-10-07,32N
6E6012,IndiGo,Kanpur ,KNU,T1,Bengaluru,BLR,15:55:00,2023-10-07,15:45:00,2023-10-07,32A
6E7258,IndiGo,Tirupati ,TIR,T1,Bengaluru,BLR,15:55:00,2023-10-07,15:45:00,2023-10-07,AT7
6E7448,IndiGo,Kolhapur ,KLH,T1,Bengaluru,BLR,16:00:00,2023-10-07,15:50:00,2023-10-07,AT7
6E7106,IndiGo,Visakhapatnam ,VTZ,T1,Bengaluru,BLR,16:00:00,2023-10-07,15:50:00,2023-10-07,AT7
UK882,Vistara,Goa ,GOI,T2,Bengaluru,BLR,15:55:00,2023-10-07,15:55:00,2023-10-07,320
6E7279,IndiGo,Tiruchirappalli ,TRZ,T1,Bengaluru,BLR,16:05:00,2023-10-07,15:55:00,2023-10-07,AT7
6E1168,IndiGo,Colombo ,CMB,T2,Bengaluru,BLR,16:05:00,2023-10-07,15:55:00,2023-10-07,32N
6E2514,IndiGo,Delhi ,DEL,T1,Bengaluru,BLR,16:10:00,2023-10-07,16:00:00,2023-10-07,32N
6E422,IndiGo,Visakhapatnam ,VTZ,T1,Bengaluru,BLR,16:10:00,2023-10-07,16:00:00,2023-10-07,32N
QP1384,Akasa Air,Bhubaneswar ,BBI,T1,Bengaluru,BLR,16:15:00,2023-10-07,16:05:00,2023-10-07,7M8
QP1397,Akasa Air,Goa ,GOX,T1,Bengaluru,BLR,16:20:00,2023-10-07,16:10:00,2023-10-07,7M8
6E6257,IndiGo,Dimapur ,DMU,T1,Bengaluru,BLR,16:25:00,2023-10-07,16:15:00,2023-10-07,32A
AI502,Air India,Delhi ,DEL,T2,Bengaluru,BLR,16:20:00,2023-10-07,16:20:00,2023-10-07,321
6E6128,IndiGo,Jodhpur ,JDH,T1,Bengaluru,BLR,16:30:00,2023-10-07,16:20:00,2023-10-07,32Q
RA225,Nepal Airlines,Kathmandu ,KTM,T2,Bengaluru,BLR,16:30:00,2023-10-07,16:20:00,2023-10-07,320
6E152,IndiGo,Port Blair ,IXZ,T1,Bengaluru,BLR,16:35:00,2023-10-07,16:25:00,2023-10-07,32N
6E5294,IndiGo,Mumbai ,BOM,T1,Bengaluru,BLR,16:40:00,2023-10-07,16:30:00,2023-10-07,32Q
6E7182,IndiGo,Thoothukudi ,TCR,T1,Bengaluru,BLR,16:50:00,2023-10-07,16:40:00,2023-10-07,AT7
UK819,Vistara,Delhi ,DEL,T2,Bengaluru,BLR,16:45:00,2023-10-07,16:45:00,2023-10-07,321
6E6534,IndiGo,Bareilly ,BEK,T1,Bengaluru,BLR,17:05:00,2023-10-07,16:55:00,2023-10-07,32N
6E758,IndiGo,Ahmedabad ,AMD,T1,Bengaluru,BLR,17:05:00,2023-10-07,16:55:00,2023-10-07,32Q
6E968,IndiGo,Kochi ,COK,T1,Bengaluru,BLR,17:05:00,2023-10-07,16:55:00,2023-10-07,32Q
6E6402,IndiGo,Chandigarh ,IXC,T1,Bengaluru,BLR,17:10:00,2023-10-07,17:00:00,2023-10-07,32N
6E388,IndiGo,Mangaluru ,IXE,T1,Bengaluru,BLR,17:25:00,2023-10-07,17:15:00,2023-10-07,32N
6E6754,IndiGo,Nagpur ,NAG,T1,Bengaluru,BLR,17:30:00,2023-10-07,17:20:00,2023-10-07,32N
UK512,Vistara,Goa ,GOX,T2,Bengaluru,BLR,17:30:00,2023-10-07,17:30:00,2023-10-07,320
6E929,IndiGo,Chennai ,MAA,T1,Bengaluru,BLR,17:40:00,2023-10-07,17:30:00,2023-10-07,32N
UK756,Vistara,Guwahati ,GAU,T2,Bengaluru,BLR,17:35:00,2023-10-07,17:35:00,2023-10-07,320
6E517,IndiGo,Aurangabad ,IXU,T1,Bengaluru,BLR,17:45:00,2023-10-07,17:35:00,2023-10-07,32N
9I528,Alliance Air,Toranagallu ,VDY,T1,Bengaluru,BLR,17:40:00,2023-10-07,17:40:00,2023-10-07,AT7
UK853,Vistara,Mumbai ,BOM,T2,Bengaluru,BLR,17:45:00,2023-10-07,17:45:00,2023-10-07,320
6E7423,IndiGo,Vijayawada ,VGA,T1,Bengaluru,BLR,17:55:00,2023-10-07,17:45:00,2023-10-07,AT7
S5160,Star Air,Bidar ,IXX,T2,Bengaluru,BLR,18:05:00,2023-10-07,17:55:00,2023-10-07,ER4
6E6319,IndiGo,Gorakhpur ,GOP,T1,Bengaluru,BLR,18:10:00,2023-10-07,18:00:00,2023-10-07,32Q
