Flight No,Airline,Departure,DEP_CODE,Terminal,Arrival,ARR_CODE,Scheduled_Time,Scheduled_date,Estimated_time,Estimated_date,Aircraft
AI602,Air India,Bengaluru,BLR,T2,Mumbai ,BOM,14:35:00,2023-10-07,14:35:00,2023-10-07,NA
6E6162,IndiGo,Bengaluru,BLR,T1,Mangaluru ,IXE,14:55:00,2023-10-07,14:55:00,2023-10-07,32N
AI511,Air India,Bengaluru,BLR,T2,Delhi ,DEL,14:55:00,2023-10-07,14:55:00,2023-10-07,319
I5820,AirAsia India,Bengaluru,BLR,T2,Guwahati ,GAU,15:00:00,2023-10-07,15:00:00,2023-10-07,A20N
6E5351,IndiGo,Bengaluru,BLR,T1,Mumbai ,BOM,15:00:00,2023-10-07,15:00:00,2023-10-07,32Q
6E7231,IndiGo,Bengaluru,BLR,T1,Rajahmundry ,RJA,15:05:00,2023-10-07,15:05:00,2023-10-07,AT7
S5159,Star Air,Bengaluru,BLR,T2,Bidar ,IXX,15:10:00,2023-10-07,15:10:00,2023-10-07,ER4
9I527,Alliance Air,Bengaluru,BLR,T1,Toranagallu ,VDY,15:10:00,2023-10-07,15:10:00,2023-10-07,AT7
6E6621,IndiGo,Bengaluru,BLR,T1,Delhi ,DEL,15:20:00,2023-10-07,15:20:00,2023-10-07,32Q
SG498,SpiceJet,Bengaluru,BLR,T1,Patna ,PAT,15:30:00,2023-10-07,15:30:00,2023-10-07,737
6E851,IndiGo,Bengaluru,BLR,T1,Chandigarh ,IXC,15:35:00,2023-10-07,15:35:00,2023-10-07,32A
QP1134,Akasa Air,Bengaluru,BLR,T1,Guwahati ,GAU,15:35:00,2023-10-07,15:35:00,2023-10-07,7M8
6E342,IndiGo,Bengaluru,BLR,T1,Patna ,PAT,15:40:00,2023-10-07,15:40:00,2023-10-07,32N
WY284,Oman Air,Bengaluru,BLR,T2,Muscat ,MCT,15:40:00,2023-10-07,15:40:00,2023-10-07,332
I51983,AirAsia India,Bengaluru,BLR,T2,Goa ,GOI,15:40:00,2023-10-07,15:40:00,2023-10-07,A320
QP1138,Akasa Air,Bengaluru,BLR,T1,Mumbai ,BOM,15:45:00,2023-10-07,15:45:00,2023-10-07,7M8
6E6574,IndiGo,Bengaluru,BLR,T1,Pune ,PNQ,15:45:00,2023-10-07,15:45:00,2023-10-07,32N
6E934,IndiGo,Bengaluru,BLR,T1,Raipur ,RPR,15:50:00,2023-10-07,15:50:00,2023-10-07,32Q
SG3998,SpiceJet,Bengaluru,BLR,T1,Pondicherry ,PNY,15:50:00,2023-10-07,15:50:00,2023-10-07,DH8
6E6572,IndiGo,Bengaluru,BLR,T1,Kolkata ,CCU,16:05:00,2023-10-07,16:05:00,2023-10-07,32Q
6E6067,IndiGo,Bengaluru,BLR,T1,Hyderabad ,HYD,16:10:00,2023-10-07,16:10:00,2023-10-07,32Q
6E6992,IndiGo,Bengaluru,BLR,T1,Coimbatore ,CJB,16:10:00,2023-10-07,16:10:00,2023-10-07,32Q
I51455,AirAsia India,Bengaluru,BLR,T2,Bhubaneswar ,BBI,16:15:00,2023-10-07,16:15:00,2023-10-07,A320
I52461,AirAsia India,Bengaluru,BLR,T2,Guwahati ,GAU,16:15:00,2023-10-07,16:15:00,2023-10-07,A20N
6E7258,IndiGo,Bengaluru,BLR,T1,Madurai ,IXM,16:25:00,2023-10-07,16:25:00,2023-10-07,AT7
6E7162,IndiGo,Bengaluru,BLR,T1,Hubballi ,HBX,16:25:00,2023-10-07,16:25:00,2023-10-07,AT7
6E5251,IndiGo,Bengaluru,BLR,T1,Mumbai ,BOM,16:30:00,2023-10-07,16:30:00,2023-10-07,32Q
6E7449,IndiGo,Bengaluru,BLR,T1,Vijayawada ,VGA,16:30:00,2023-10-07,16:30:00,2023-10-07,AT7
6E6743,IndiGo,Bengaluru,BLR,T1,Indore ,IDR,16:35:00,2023-10-07,16:35:00,2023-10-07,32N
